Time,AccelX,AccelY,AccelZ
0.09159278869628906,0.04,-0.05,9.81
0.19384765625,-0.05,-0.04,9.77
0.29581713676452637,0.11,-0.06,9.8
0.3975808620452881,0.18,0.85,9.83
0.49958252906799316,0.37,2.57,10.17
0.6014301776885986,2.19,1.32,11.99
0.7036662101745605,0.26,1.2,-1.73
0.8057963848114014,-1.11,0.3,20.86
0.9075798988342285,-0.79,1.02,2.01
1.0095975399017334,0.57,0.92,16.58
1.1120193004608154,-1.13,-1.15,9.38
1.2141261100769043,-0.57,1.03,2.57
1.3162400722503662,0.63,0.47,20.04
1.4177501201629639,-1.05,0.49,1.9
1.519853115081787,0.18,0.71,18.24
1.6217384338378906,-0.58,-0.85,7.34
1.723787546157837,-0.18,0.4,2.68
1.8256409168243408,2.1,0.64,19.38
1.9272868633270264,-1.48,0.25,1.85
2.030028820037842,0.69,1.03,17.98
2.132532835006714,-1.4,-2.12,8.42
2.2337193489074707,3.38,0.52,8.34
2.3368256092071533,-5.83,-0.49,9.26
2.4383974075317383,4.9,-0.86,11.78
2.539659023284912,2.92,2.43,10.96
2.642012119293213,-7.4,-1.62,10.99
2.7436177730560303,1.29,-0.24,9.77
2.8455350399017334,3.41,-0.19,8.6
2.948664903640747,-3.95,-0.37,9.22
3.0499048233032227,-1.29,-4.24,9.66
3.152348279953003,4.07,0.16,10.45
3.253633499145508,1.17,0.58,11.31
3.3560969829559326,-6.65,-3.1,11.13
3.457873821258545,3.3,-1.3,8.4
3.560419797897339,0.78,1.18,11.45
3.662494421005249,-7.1,-1.7,12.6
3.764674663543701,-1.62,0.84,11.81
3.866462469100952,-1.02,3.75,7.92
3.967642068862915,-1.13,0.61,3.35
4.069760084152222,-1.74,2.17,20.51
4.171935796737671,-2.0,-1.21,4.93
4.274465322494507,-0.87,-1.66,0.77
4.37596869468689,-1.21,-0.5,20.7
4.47743034362793,-2.18,-1.12,3.74
4.579564332962036,3.04,1.05,8.63
4.681896448135376,-0.78,0.02,15.07
4.783740758895874,-2.9,-2.28,6.28
4.884836912155151,2.73,2.43,8.56
4.987369775772095,-0.03,0.51,13.82
5.0894691944122314,-2.14,-2.77,11.8
5.191791772842407,-1.75,0.75,3.25
5.294434070587158,-0.46,0.08,6.23
5.395974636077881,-1.49,-0.03,15.91
5.4976677894592285,-3.13,-1.84,9.57
5.600332975387573,0.79,0.47,4.24
5.701753854751587,2.51,2.03,14.41
5.804419279098511,-4.73,-2.59,8.83
5.9060280323028564,3.16,1.74,9.78
6.007786750793457,0.06,1.44,9.46
6.1100075244903564,-4.86,-0.46,12.88
6.212639808654785,0.08,2.1,8.67
6.313601493835449,-2.97,5.21,8.38
6.41590690612793,-3.95,8.43,10.85
6.517363548278809,-2.49,2.74,4.62
6.620080232620239,-4.04,10.92,13.06
6.721807241439819,-3.49,2.87,4.77
6.824259281158447,-1.27,3.27,4.08
6.92596435546875,-1.83,9.93,11.83
7.02864408493042,-0.96,2.61,5.31
7.129721403121948,0.45,2.98,8.47
7.232569217681885,-0.01,-0.77,7.69
7.3336358070373535,1.52,-2.29,11.13
7.436319351196289,1.12,-1.47,10.15
7.538640737533569,4.24,-1.88,6.97
7.639274597167969,5.58,-2.5,9.41
7.742528676986694,-2.66,-3.91,7.74
7.844679594039917,-2.6,1.33,8.73
7.946009874343872,-1.37,3.33,6.51
8.04873514175415,-2.35,5.11,9.15
8.150306940078735,-5.81,6.02,7.59
8.252644062042236,-2.22,1.4,9.64
8.35326886177063,2.7,0.35,5.96
8.45658826828003,-0.47,-4.17,11.29
8.558143138885498,-1.66,-3.09,7.35
8.660757780075073,0.24,-3.17,4.51
8.76288652420044,1.15,-8.95,16.0
8.863814115524292,-1.38,-3.68,4.29
8.965840101242065,-0.31,-6.34,7.57
9.068488836288452,-0.62,-7.36,7.78
9.17045545578003,-0.22,-3.74,4.66
9.272484302520752,0.98,-9.98,11.44
9.373335123062134,-1.01,-5.35,4.36
9.476115465164185,0.45,-7.22,5.94
9.57820463180542,0.42,-8.64,7.43
9.680802822113037,-0.03,-4.88,7.24
9.782989740371704,-0.53,-2.79,12.1
9.883943557739258,-0.59,2.19,10.82
9.98582911491394,-1.48,5.89,6.34
10.087716341018677,-1.64,3.21,3.67
